ttr,hapax,adj_noun_ratio,dep_depth,fk_grade,;,—,!,:,",",.,label
0.6352941176470588,36,0.18181818181818182,9.333333333333334,11.906585365853658,0.0,0.0,0.0,0.0,4.524886877828055,11.312217194570135,1
0.6938775510204082,52,0.6,11.0,38.88510204081632,5.747126436781609,0.0,0.0,1.9157088122605364,13.409961685823756,1.9157088122605364,1
0.7472527472527473,55,0.4444444444444444,11.0,37.535164835164835,3.8910505836575875,0.0,0.0,0.0,11.673151750972762,1.9455252918287937,1
0.7878787878787878,41,0.75,6.0,9.611875000000001,0.0,0.0,3.2679738562091503,0.0,29.41176470588235,3.2679738562091503,1
0.7971014492753623,47,0.26666666666666666,5.25,5.996730769230769,2.890173410404624,0.0,0.0,0.0,26.01156069364162,8.670520231213873,1
0.6991150442477876,64,0.45454545454545453,7.666666666666667,15.192897196261683,1.6339869281045751,8.169934640522877,1.6339869281045751,0.0,9.803921568627452,3.2679738562091503,1
0.6331360946745562,83,0.41935483870967744,7.75,19.71668674698795,2.944062806673209,1.9627085377821392,0.9813542688910696,0.0,9.813542688910697,2.944062806673209,1
0.675,86,0.5151515151515151,7.4,11.849585253456222,2.185792349726776,0.0,0.0,0.0,14.207650273224045,7.6502732240437155,1
0.7301587301587301,36,0.21428571428571427,5.25,7.40964285714286,5.524861878453039,0.0,0.0,2.7624309392265194,8.287292817679557,19.337016574585636,1
0.6956521739130435,37,0.2,4.25,3.432484848484851,8.02139037433155,2.6737967914438503,0.0,0.0,13.368983957219251,34.75935828877005,1
0.7580645161290323,38,0.8571428571428571,4.666666666666667,3.6433333333333344,0.0,6.644518272425249,0.0,0.0,26.578073089700997,23.25581395348837,1
0.7301587301587301,36,0.16666666666666666,4.8,5.610622950819671,3.003003003003003,0.0,0.0,0.0,21.021021021021024,18.01801801801802,1
0.7941176470588235,43,0.4,10.0,10.027462686567166,0.0,0.0,0.0,0.0,16.43835616438356,8.21917808219178,1
0.8970588235294118,55,0.3333333333333333,7.5,12.647692307692314,7.462686567164179,0.0,0.0,0.0,7.462686567164179,9.950248756218905,1
0.676923076923077,33,0.16666666666666666,14.0,13.24192307692308,2.949852507374631,0.0,0.0,0.0,17.699115044247787,5.899705014749262,1
0.7033898305084746,66,0.5789473684210527,8.0,12.25681623931624,1.6207455429497568,0.0,0.0,3.2414910858995136,16.207455429497568,6.482982171799027,1
0.6865671641791045,35,0.3076923076923077,7.666666666666667,9.675223880597013,2.785515320334262,0.0,0.0,2.785515320334262,8.356545961002785,8.356545961002785,1
0.7704918032786885,42,0.5833333333333334,6.0,8.395737704918034,3.058103975535168,0.0,6.116207951070336,0.0,15.290519877675841,3.058103975535168,1
0.6923076923076923,44,0.2631578947368421,7.666666666666667,11.213684210526313,2.314814814814815,0.0,0.0,0.0,13.888888888888888,6.944444444444444,1
0.6842105263157895,52,0.34782608695652173,6.0,8.563276595744682,12.681159420289855,0.0,0.0,3.6231884057971016,12.681159420289855,7.246376811594203,1
